order_id,order_date,order_status,payment_status,seller_id,item_id,line_item_id,title,quantity,line_item_price,order_total,delivery_cost,total_due_seller,currency
18-14551-31278,2026-04-28 03:24:07+00:00,FULFILLED,PAID,luxmielstore,227307906290,10084439677318,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,2,19.98,17.98,0.0,14.59,USD
27-14555-45423,2026-05-02 00:59:35+00:00,FULFILLED,PAID,luxmielstore,226991664030,10084699998327,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,9.99,9.99,0.0,7.99,USD
24-14575-84611,2026-05-02 12:07:45+00:00,FULFILLED,PAID,luxmielstore,226991664030,10080528114124,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,9.99,9.99,0.0,7.93,USD
22-14596-15231,2026-05-09 15:42:08+00:00,FULFILLED,PAID,luxmielstore,226991664030,10080963184822,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,9.99,9.99,0.0,7.96,USD
27-14595-76609,2026-05-11 07:07:44+00:00,FULFILLED,PAID,luxmielstore,226991664030,10084931709627,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,9.99,9.99,0.0,7.97,USD
15-14622-30214,2026-05-13 00:56:55+00:00,FULFILLED,PAID,luxmielstore,226991664030,10081819409215,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,9.99,9.99,0.0,8.0,USD
25-14610-55749,2026-05-13 19:49:26+00:00,FULFILLED,PAID,luxmielstore,227307906290,10080648315525,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,4,47.96,38.36,0.0,31.83,USD
08-14637-89374,2026-05-14 02:32:46+00:00,FULFILLED,PAID,luxmielstore,226991664030,10080898508508,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,11.99,11.99,0.0,9.58,USD
02-14653-82712,2026-05-15 13:45:52+00:00,FULFILLED,PAID,luxmielstore,226991664030,10081169640602,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,11.99,11.99,0.0,9.77,USD
26-14621-89398,2026-05-16 23:45:21+00:00,FULFILLED,PAID,luxmielstore,227307906290,10080717794026,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,1,11.99,11.99,0.0,9.77,USD
17-14653-95776,2026-05-21 01:17:36+00:00,FULFILLED,PAID,luxmielstore,227307906290,10082013284617,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,1,11.99,11.99,0.0,9.63,USD
16-14655-70057,2026-05-21 01:41:16+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082015901816,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,11.99,11.99,0.0,9.66,USD
10-14669-54213,2026-05-22 04:23:52+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082079934710,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,11.99,11.99,0.0,9.58,USD
